1410,Fear Street Part Two: 1978,1841,smb://GLASSES/Movies/Fear.Street.Part.2.1978.2021.1080p.WEBRip.x265-RARBG/
1413,Fear Street: 1666,1845,smb://GLASSES/Movies/Fear.Street.Part.3.1666.2021.1080p.WEBRip.x265-RARBG/
1423,Deep Rising,1860,smb://GLASSES/Movies/Deep.Rising.1998.1080p.BluRay.H264.AAC-RARBG/
1427,Gretel & Hansel,1866,smb://GLASSES/Movies/Gretel.and.Hansel.2020.PROPER.1080p.WEBRip.x264-RARBG/
1429,Candyman,1868,smb://GLASSES/Movies/Candyman.2021.1080p.WEBRip.x264-RARBG/
1430,Nightbreed,1869,smb://GLASSES/Movies/Nightbreed (1990) [1080p]/
1435,V/H/S/94,1875,smb://GLASSES/Movies/V.H.S.94.2021.1080p.WEBRip.x264-RARBG/
1439,Paranormal Activity: Next of Kin,1881,smb://GLASSES/Movies/Paranormal.Activity.Next.of.Kin.2021.1080p.WEBRip.x265-RARBG/
1442,Last Night in Soho,1884,smb://GLASSES/Movies/Last.Night.in.Soho.2021.1080p.WEBRip.x264-RARBG/
1446,Diary of the Dead,1888,smb://GLASSES/Movies/Diary.of.the.Dead.2007.1080p.BluRay.x265-RARBG/
1447,Resident Evil: Welcome to Raccoon City,1891,smb://GLASSES/Movies/Resident.Evil.Welcome.To.Raccoon.City.2021.720p.WEB.H264-SLOT/
1469,Blade,1916,smb://GLASSES/Movies/Blade (1998) (1080p BluRay x265 HEVC 10bit AAC 5.1 Tigole)/
1481,Stir of Echoes,1930,smb://GLASSES/Movies/Stir of Echoes (1999) [1080p]/
1483,Tremors,1932,smb://GLASSES/Movies/Tremors.1990.REMASTERED.1080p.BluRay.x265-RARBG/
1497,eXistenZ,1951,smb://GLASSES/Movies/EXistenZ.1999.1080p.BluRay.x265-RARBG/
1498,Species,1952,smb://GLASSES/Movies/Species.1995.REMASTERED.1080p.BluRay.H264.AAC-RARBG/
1509,Bride of Chucky,1963,smb://GLASSES/Movies/Childs Play/
1510,Child's Play,1963,smb://GLASSES/Movies/Childs Play/
1511,Child's Play 2,1963,smb://GLASSES/Movies/Childs Play/
1512,Cult of Chucky,1963,smb://GLASSES/Movies/Childs Play/
1513,Curse of Chucky,1963,smb://GLASSES/Movies/Childs Play/
1514,Seed of Chucky,1963,smb://GLASSES/Movies/Childs Play/
1516,A Quiet Place Part II,1965,smb://GLASSES/Movies/A Quiet Place Part II (2020)/
1517,Alien: Covenant,1966,smb://GLASSES/Movies/Alien Covenant (2017)/
1523,The Bay,1972,smb://GLASSES/Movies/The Bay 2012 1080p BluRay H264 AAC-RARBG/
1526,The Dark and the Wicked,1975,smb://GLASSES/Movies/The Dark and the Wicked 2020 1080p WEBRip x264-RARBG/
1533,The Grudge,1982,smb://GLASSES/Movies/The Grudge 2020 1080p BluRay H264 AAC-RARBG/
1534,The House That Jack Built,1983,smb://GLASSES/Movies/The House That Jack Built 2018 HDRip XviD AC3-EVO[EtMovies]/
